date, pm25, pm10, o3, no2, so2, co
9/14/2022,65,27,8,35,16,9
9/15/2022,44,25,4,29,16,14
9/16/2022,39,27,4,33,16,10
9/17/2022,42,34,16,35,16,10
9/18/2022,60,22,14,33,16,9
9/19/2022,37,28,11,28,16,7
9/20/2022,46,24,8,28,16,7
9/21/2022,41,23,5,33,16,10
9/22/2022,38,21,14,25,15,5
9/23/2022,37,21,10,21,16,4
9/24/2022,41,23,11,22,15,4
9/25/2022,42,25,14,33,16,11
9/26/2022,43,36,17,32,16,11
9/27/2022,62,36,7,26,16,6
9/28/2022,65,24,7,25,16,8
9/29/2022,44,17,5,21,16,10
9/30/2022,30,17,5,21,16,11
4/1/2022,13,11,23,14,13,3
4/2/2022,18,27,24,20,14,5
4/3/2022,45,44,21,33,16,6
4/4/2022,77,56,27,36,17,7
4/5/2022,103,61,36,38,15,9
4/6/2022,121,57,29,31,17,7
4/7/2022,115,54,35,41,18,9
4/8/2022,109,36,21,30,14,6
4/9/2022,66,24,13,26,13,6
4/10/2022,46,26,6,29,13,9
4/11/2022,50,21,6,21,12,6
4/12/2022,39,23,17,28,15,8
4/13/2022,44,23,8,26,13,8
4/14/2022,44,21,8,21,12,7
4/15/2022,41,14,7,23,12,6
4/16/2022,27,12,4,12,12,4
4/17/2022,25,10,6,16,12,5
4/18/2022,18,20,19,21,15,6
4/19/2022,39,35,19,29,17,11
4/20/2022,66,35,18,27,17,11
4/21/2022,68,18,9,17,15,6
4/22/2022,35,20,8,17,15,8
4/23/2022,38,19,9,12,14,5
4/24/2022,37,24,8,19,15,9
4/25/2022,45,23,7,20,15,9
4/26/2022,43,18,7,17,15,8
4/27/2022,35,16,7,13,14,6
4/28/2022,32,24,7,16,15,11
4/29/2022,46,19,6,14,14,5
4/30/2022,36,9,7,9,13,3
5/1/2022,16,12,9,14,13,4
5/2/2022,23,23,9,20,13,5
5/3/2022,43,33,15,27,13,7
5/4/2022,66,37,14,31,13,8
5/5/2022,62,59,12,28,14,9
5/6/2022,102,31,6,18,13,7
5/7/2022,49,25,6,14,13,6
5/8/2022,39,27,6,12,13,5
5/9/2022,43,30,6,14,13,8
5/10/2022,46,44,8,21,14,10
5/11/2022,68,31,8,22,14,9
5/12/2022,49,44,10,13,14,10
5/13/2022,67, , , , , 
6/17/2022,18,22,9,18,14,7
6/18/2022,27,23,8,18,14,6
6/19/2022,30,28,8,21,14,6
6/20/2022,35,25,7,21,14,3
6/21/2022,30,23,10,24,14,3
6/22/2022,31,29,11,28,14,7
6/23/2022,46,25,7,22,14,3
6/24/2022,38,17,6,19,14,2
6/25/2022,23,21,7,21,14,2
6/26/2022,31,17,7,23,14,4
6/27/2022,21,23,13,36,14,9
6/28/2022,32,29,16,28,14,6
6/29/2022,44,25,8,32,14,8
6/30/2022,40,23,11,24,14,3
1/3/2022,179,98,13,42,12,14
1/4/2022,174,58,8,34,12,10
1/5/2022,102,45,8,27,12,8
1/6/2022,74,51,12,33,13,8
1/7/2022,87,55,11,31,14,8
1/8/2022,102,48,5,15,12,6
1/9/2022,90,41,4,13,11,7
1/10/2022,80,41,12,23,12,8
1/11/2022,71,62,4,38,16,13
1/12/2022,119,58,6,23,13,7
1/13/2022,116,74,3,37,16,13
1/14/2022,153,69,5,33,12,11
1/15/2022,144,61,6,28,12,11
1/16/2022,124,18,6,12,11,5
1/17/2022,33,45,19,26,13,9
1/18/2022,78,53,17,29,14,8
1/19/2022,97,57,7,36,13,11
1/20/2022,114,62,3,34,15,10
1/21/2022,131,56,4,30,12,12
1/22/2022,112,54,7,28,12,11
1/23/2022,102,34,7,27,12,9
1/24/2022,59,29,7,22,11,9
1/25/2022,54,27,7,24,11,9
1/26/2022,49,26,8,21,11,7
1/27/2022,47,28,10,21,11,6
1/28/2022,47,32,9,15,11,7
1/29/2022,59,27,10,12,11,7
1/30/2022,51,20,12,8,11,5
1/31/2022,37,19,12,6,11,4
2/1/2022,36,13,9,6,11,4
2/2/2022,25,18,14,8,11,4
2/3/2022,33,31,16,11,11,5
2/4/2022,57,41,16,17,11,5
2/5/2022,79,51,13,18,11,7
2/6/2022,104,50,9,19,12,7
2/7/2022,99,28,6,19,11,8
2/8/2022,58,11,5,12,11,6
2/9/2022,21,22,4,17,12,6
2/10/2022,42,36,4,23,12,9
2/11/2022,70,28,4,15,12,7
2/12/2022,55,12,7,10,11,4
2/13/2022,24,28,11,23,12,8
2/14/2022,54,48,7,26,15,8
2/15/2022,95,54,4,25,12,11
2/16/2022,106,52,4,39,12,12
2/17/2022,101,33,4,29,12,11
2/18/2022,61,8,11,11,11,4
2/19/2022,15,9,14,9,11,3
2/20/2022,17,14,13,12,11,4
2/21/2022,27,16,12,10,11,4
2/22/2022,29,29,17,16,12,4
2/23/2022,52,49,19,23,13,5
