date, pm25, pm10, o3, no2, so2, co
2022/8/5, 27, 16, 2, 27, 15, 11
2022/8/6, 26, 20, 3, 25, 15, 7
2022/8/7, 33, 18, 6, 21, 15, 6
2022/8/8, 29, 12, 7, 23, 15, 5
2022/8/9, 20, 14, 8, 20, 15, 4
2022/8/10, 23, 7, 6, 17, 15, 6
2022/8/11, 12, 14, 5, 27, 15, 15
2022/8/12, 22, 23, 8, 30, 15, 10
2022/8/13, 36, 14, 7, 24, 15, 8
2022/8/14, 22, 13, 5, 26, 15, 9
2022/8/15, 18, 17, 8, 30, 15, 9
2022/8/16, 23, 17, 6, 26, 15, 9
2022/8/17, 24, 18, 11, 27, 15, 7
2022/8/18, 26, 18, 14, 29, 15, 8
2022/8/19, 27, 11, 7, 24, 15, 6
2022/8/20, 18, 8, 5, 20, 15, 8
2022/8/21, 14, 9, 5, 24, 15, 9
2022/8/22, 13, 16, 5, 25, 15, 11
2022/8/23, 25, 23, 14, 31, 15, 8
2022/8/24, 37, 22, 7, 27, 15, 9
2022/8/25, 38, 9, 7, 17, 15, 6
2022/8/26, 14, 13, 7, 24, 15, 8
2022/8/27, 19, 12, 7, 19, 15, 5
2022/8/28, 19, 12, 7, 18, 15, 6
2022/8/29, 18, 16, 5, 26, 15, 9
2022/8/30, 23, 19, 6, 33, 15, 11
2022/8/31, 29, 21, 8, 21, 15, 4
2022/9/1, 36, 18, 12, 21, 15, 4
2022/9/2, 30, 23, 13, 30, 15, 7
2022/9/3, 38, 19, 9, 21, 15, 4
2022/9/4, 32, 16, 11, 29, 15, 9
2022/9/5, 24, 26, 18, 32, 15, 7
2022/9/6, 41, 35, 18, 35, 15, 8
2022/9/7, 57, 19, 7, 19, 15, 5
2022/9/8, 35, 18, 6, 26, 15, 10
2022/9/9, 30, 26, 10, 29, 15, 9
2022/9/10, 42, 22, 6, 29, 15, 8
2022/9/11, 36, 24, 11, 35, 15, 10
2022/9/12, 36, 31, 19, 29, 15, 7
2022/9/13, 51, 39, 18, 34, 15, 9
2022/9/14, 65, 27, 8, 35, 16, 9
2022/9/15, 44, 25, 4, 29, 16, 14
2022/9/16, 39, 27, 4, 33, 16, 10
2022/9/17, 42, 34, 16, 35, 16, 10
2022/9/18, 60, 22, 14, 33, 16, 9
2022/9/19, 37, 28, 11, 28, 16, 7
2022/9/20, 46, 24, 8, 28, 16, 7
2022/9/21, 41, 23, 5, 33, 16, 10
2022/9/22, 38, 21, 14, 25, 15, 5
2022/9/23, 37, 21, 10, 21, 16, 4
2022/9/24, 41, 23, 11, 22, 15, 4
2022/9/25, 42, 25, 14, 33, 16, 11
2022/9/26, 43, 36, 17, 32, 16, 11
2022/9/27, 62, 36, 7, 26, 16, 6
2022/9/28, 65, 24, 7, 25, 16, 8
2022/9/29, 44, 17, 5, 21, 16, 10
2022/9/30, 30, 17, 5, 21, 16, 11
2022/4/1, 13, 11, 23, 14, 13, 3
2022/4/2, 18, 27, 24, 20, 14, 5
2022/4/3, 45, 44, 21, 33, 16, 6
2022/4/4, 77, 56, 27, 36, 17, 7
2022/4/5, 103, 61, 36, 38, 15, 9
2022/4/6, 121, 57, 29, 31, 17, 7
2022/4/7, 115, 54, 35, 41, 18, 9
2022/4/8, 109, 36, 21, 30, 14, 6
2022/4/9, 66, 24, 13, 26, 13, 6
2022/4/10, 46, 26, 6, 29, 13, 9
2022/4/11, 50, 21, 6, 21, 12, 6
2022/4/12, 39, 23, 17, 28, 15, 8
2022/4/13, 44, 23, 8, 26, 13, 8
2022/4/14, 44, 21, 8, 21, 12, 7
2022/4/15, 41, 14, 7, 23, 12, 6
2022/4/16, 27, 12, 4, 12, 12, 4
2022/4/17, 25, 10, 6, 16, 12, 5
2022/4/18, 18, 20, 19, 21, 15, 6
2022/4/19, 39, 35, 19, 29, 17, 11
2022/4/20, 66, 35, 18, 27, 17, 11
2022/4/21, 68, 18, 9, 17, 15, 6
2022/4/22, 35, 20, 8, 17, 15, 8
2022/4/23, 38, 19, 9, 12, 14, 5
2022/4/24, 37, 24, 8, 19, 15, 9
2022/4/25, 45, 23, 7, 20, 15, 9
2022/4/26, 43, 18, 7, 17, 15, 8
